id,name,aliases,type,country_code
Asia/Kathmandu,Kathmandu,Asia/Kathmandu|Asia|Asia,timezone,NP
Pacific/Nauru,Nauru,Pacific/Nauru|Pacific|Pacific,timezone,NR
Pacific/Niue,Niue,Pacific/Niue|Pacific|Pacific,timezone,NU
Pacific/Auckland,Auckland,Pacific/Auckland|Pacific|Pacific,timezone,NZ
Pacific/Chatham,Chatham,Pacific/Chatham|Pacific|Pacific,timezone,NZ
Asia/Muscat,Muscat,Asia/Muscat|Asia|Asia,timezone,OM
America/Panama,Panama,America/Panama|America|America,timezone,PA
America/Lima,Lima,America/Lima|America|America,timezone,PE
Pacific/Tahiti,Tahiti,Pacific/Tahiti|Pacific|Pacific,timezone,PF
Pacific/Marquesas,Marquesas,Pacific/Marquesas|Pacific|Pacific,timezone,PF
Pacific/Gambier,Gambier,Pacific/Gambier|Pacific|Pacific,timezone,PF
Pacific/Port_Moresby,Port Moresby,Pacific/Port Moresby|Pacific|Pacific,timezone,PG
Pacific/Bougainville,Bougainville,Pacific/Bougainville|Pacific|Pacific,timezone,PG
Asia/Manila,Manila,Asia/Manila|Asia|Asia,timezone,PH
Asia/Karachi,Karachi,Asia/Karachi|Asia|Asia,timezone,PK
Europe/Warsaw,Warsaw,Europe/Warsaw|Europe|Europe,timezone,PL
America/Miquelon,Miquelon,America/Miquelon|America|America,timezone,PM
Pacific/Pitcairn,Pitcairn,Pacific/Pitcairn|Pacific|Pacific,timezone,PN
America/Puerto_Rico,Puerto Rico,America/Puerto Rico|America|America,timezone,PR
Asia/Gaza,Gaza,Asia/Gaza|Asia|Asia,timezone,PS
Asia/Hebron,Hebron,Asia/Hebron|Asia|Asia,timezone,PS
Europe/Lisbon,Lisbon,Europe/Lisbon|Europe|Europe,timezone,PT
Atlantic/Madeira,Madeira,Atlantic/Madeira|Atlantic|Atlantic,timezone,PT
Atlantic/Azores,Azores,Atlantic/Azores|Atlantic|Atlantic,timezone,PT
Pacific/Palau,Palau,Pacific/Palau|Pacific|Pacific,timezone,PW
America/Asuncion,Asuncion,America/Asuncion|America|America,timezone,PY
Asia/Qatar,Qatar,Asia/Qatar|Asia|Asia,timezone,QA
Indian/Reunion,Reunion,Indian/Reunion|Indian|Indian,timezone,RE
Europe/Bucharest,Bucharest,Europe/Bucharest|Europe|Europe,timezone,RO
Europe/Belgrade,Belgrade,Europe/Belgrade|Europe|Europe,timezone,RS
Europe/Kaliningrad,Kaliningrad,Europe/Kaliningrad|Europe|Europe,timezone,RU
Europe/Moscow,Moscow,Europe/Moscow|Europe|Europe,timezone,RU
Europe/Simferopol,Simferopol,Europe/Simferopol|Europe|Europe,timezone,UA
Europe/Kirov,Kirov,Europe/Kirov|Europe|Europe,timezone,RU
Europe/Volgograd,Volgograd,Europe/Volgograd|Europe|Europe,timezone,RU
Europe/Astrakhan,Astrakhan,Europe/Astrakhan|Europe|Europe,timezone,RU
Europe/Saratov,Saratov,Europe/Saratov|Europe|Europe,timezone,RU
Europe/Ulyanovsk,Ulyanovsk,Europe/Ulyanovsk|Europe|Europe,timezone,RU
Europe/Samara,Samara,Europe/Samara|Europe|Europe,timezone,RU
Asia/Yekaterinburg,Yekaterinburg,Asia/Yekaterinburg|Asia|Asia,timezone,RU
Asia/Omsk,Omsk,Asia/Omsk|Asia|Asia,timezone,RU
Asia/Novosibirsk,Novosibirsk,Asia/Novosibirsk|Asia|Asia,timezone,RU
Asia/Barnaul,Barnaul,Asia/Barnaul|Asia|Asia,timezone,RU
Asia/Tomsk,Tomsk,Asia/Tomsk|Asia|Asia,timezone,RU
Asia/Novokuznetsk,Novokuznetsk,Asia/Novokuznetsk|Asia|Asia,timezone,RU
Asia/Krasnoyarsk,Krasnoyarsk,Asia/Krasnoyarsk|Asia|Asia,timezone,RU
Asia/Irkutsk,Irkutsk,Asia/Irkutsk|Asia|Asia,timezone,RU
Asia/Chita,Chita,Asia/Chita|Asia|Asia,timezone,RU
Asia/Yakutsk,Yakutsk,Asia/Yakutsk|Asia|Asia,timezone,RU
Asia/Khandyga,Khandyga,Asia/Khandyga|Asia|Asia,timezone,RU
Asia/Vladivostok,Vladivostok,Asia/Vladivostok|Asia|Asia,timezone,RU
Asia/Ust-Nera,Ust-Nera,Asia/Ust-Nera|Asia|Asia,timezone,RU
Asia/Magadan,Magadan,Asia/Magadan|Asia|Asia,timezone,RU
Asia/Sakhalin,Sakhalin,Asia/Sakhalin|Asia|Asia,timezone,RU
Asia/Srednekolymsk,Srednekolymsk,Asia/Srednekolymsk|Asia|Asia,timezone,RU
Asia/Kamchatka,Kamchatka,Asia/Kamchatka|Asia|Asia,timezone,RU
Asia/Anadyr,Anadyr,Asia/Anadyr|Asia|Asia,timezone,RU
Africa/Kigali,Kigali,Africa/Kigali|Africa|Africa,timezone,RW
Asia/Riyadh,Riyadh,Asia/Riyadh|Asia|Asia,timezone,SA
Pacific/Guadalcanal,Guadalcanal,Pacific/Guadalcanal|Pacific|Pacific,timezone,SB
Indian/Mahe,Mahe,Indian/Mahe|Indian|Indian,timezone,SC
Africa/Khartoum,Khartoum,Africa/Khartoum|Africa|Africa,timezone,SD
Europe/Stockholm,Stockholm,Europe/Stockholm|Europe|Europe,timezone,SE
Asia/Singapore,Singapore,Asia/Singapore|Asia|Asia,timezone,SG
Atlantic/St_Helena,St Helena,Atlantic/St Helena|Atlantic|Atlantic,timezone,SH
Europe/Ljubljana,Ljubljana,Europe/Ljubljana|Europe|Europe,timezone,SI
Arctic/Longyearbyen,Longyearbyen,Arctic/Longyearbyen|Arctic|Arctic,timezone,SJ
Europe/Bratislava,Bratislava,Europe/Bratislava|Europe|Europe,timezone,SK
Africa/Freetown,Freetown,Africa/Freetown|Africa|Africa,timezone,SL
Europe/San_Marino,San Marino,Europe/San Marino|Europe|Europe,timezone,SM
Africa/Dakar,Dakar,Africa/Dakar|Africa|Africa,timezone,SN
Africa/Mogadishu,Mogadishu,Africa/Mogadishu|Africa|Africa,timezone,SO
America/Paramaribo,Paramaribo,America/Paramaribo|America|America,timezone,SR
Africa/Juba,Juba,Africa/Juba|Africa|Africa,timezone,SS
Africa/Sao_Tome,Sao Tome,Africa/Sao Tome|Africa|Africa,timezone,ST
America/El_Salvador,El Salvador,America/El Salvador|America|America,timezone,SV
America/Lower_Princes,Lower Princes,America/Lower Princes|America|America,timezone,SX
Asia/Damascus,Damascus,Asia/Damascus|Asia|Asia,timezone,SY
